progress_id,enroll_id,modules_completed,last_update
2001,1001.0,4.0,2024-07-21
2002,1002.0,2.0,2024-07-14
2003,1003.0,0.0,2024-07-15
2004,1004.0,3.0,2024-07-16
2005,1005.0,5.0,2024-07-17
2006,1006.0,4.0,2024-07-18
2007,1007.0,1.0,2024-01-01
2008,1008.0,5.0,2024-07-19
2009,1009.0,4.0,2024-07-20
2010,1010.0,6.0,2024-07-20
2012,1012.0,8.0,2024-07-22
2013,1013.0,4.0,2024-01-01
2014,1014.0,0.0,2024-07-23
2015,1015.0,6.0,2024-07-24
2016,1016.0,4.0,2024-07-25
2017,1017.0,3.0,2024-07-25
2018,1018.0,2.0,2024-07-26
2019,1019.0,7.0,2024-07-27
2020,1020.0,5.0,2024-07-27
2021,1021.0,1.0,2024-07-27
2022,1022.0,0.0,2024-07-27
2023,1023.0,5.0,2024-07-29
2024,1024.0,3.0,2024-07-29
2025,1025.0,6.0,2024-07-30
2026,1026.0,2.0,2024-07-30
2027,1027.0,2.0,2024-01-01
2028,1028.0,2.0,2024-07-31
2029,1029.0,4.0,2024-08-02
2030,1030.0,5.0,2024-08-02
2031,1031.0,1.0,2024-08-02
2032,1032.0,3.0,2024-08-03
2033,1033.0,2.0,2024-08-03
2034,1034.0,2.0,2024-01-01
2035,1035.0,6.0,2024-08-03
2036,1036.0,0.0,2024-08-03
2037,1037.0,2.0,2024-08-03
